Designator,Device,Footprint,"Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y",Pins,Layer,Rotation,SMD,Comment
U2,XL-3216HIRC-850,OPTO-SMD_L2.0-W1.3-RD,-116.078mm,129.032mm,-116.078mm,129.032mm,-117.178mm,129.032mm,2,T,0,Yes,XL-3216HIRC-850
P1,SM03B-SURS-TF(LF)(SN),CONN-SMD_SM03B-SURS-TF-LF-SN,-118.364mm,127.127mm,-118.364mm,127.127mm,-117.465mm,126.327mm,5,B,270,Yes,SM03B-SURS-TF(LF)(SN)
P3,SM03B-SURS-TF(LF)(SN),CONN-SMD_SM03B-SURS-TF-LF-SN,-113.919mm,127.127mm,-113.919mm,127.127mm,-114.818mm,127.927mm,5,B,90,Yes,SM03B-SURS-TF(LF)(SN)
