No.,Quantity,Comment,Designator,Footprint,Value,"Manufacturer Part",Manufacturer,"Supplier Part",Supplier
1,2,SM03B-SURS-TF(LF)(SN),"P1,P3",CONN-SMD_SM03B-SURS-TF-LF-SN,,SM03B-SURS-TF(LF)(SN),JST,C265338,LCSC
2,1,XL-3216HIRC-850,U2,OPTO-SMD_L2.0-W1.3-RD,,XL-3216HIRC-850,XINGLIGHT(成兴光),C965891,LCSC
