Designator,Device,Footprint,"Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y",Pins,Layer,Rotation,SMD,Comment
U1,XL-3216HIRC-850,OPTO-SMD_L2.0-W1.3-RD,14.986mm,125.603mm,14.986mm,125.603mm,13.886mm,125.603mm,2,T,0,Yes,XL-3216HIRC-850
P1,SM03B-SURS-TF(LF)(SN),CONN-SMD_SM03B-SURS-TF-LF-SN,17.018mm,123.698mm,17.018mm,123.698mm,16.119mm,124.498mm,5,B,90,Yes,SM03B-SURS-TF(LF)(SN)
P2,SM03B-SURS-TF(LF)(SN),CONN-SMD_SM03B-SURS-TF-LF-SN,12.7mm,123.698mm,12.7mm,123.698mm,13.599mm,122.898mm,5,B,270,Yes,SM03B-SURS-TF(LF)(SN)
